Provider Name,Address,City,Zipcode,Doses,Phone Number
Lhd Angelina County And Cities Health District (Re),503 Hill St Ste 100,Lufkin,75904,"2,000",99366321139
Medical Clinic Of Muleshoe,708 S 1st St,Muleshoe,79347,"1,170",8062727544
A+ Life Style Medical Group,815 Hwy 71 W,Bastrop,78602,"2,000",5123211098
Community Action Health Center,301 S Hillside Dr Ste 5,Beeville,78102,"1,000",3613620307
Christus Spohn Health System Beeville,1500 E Houston St,Beeville,78102,"2,340",3613542000
Lhd Bell County Public Health District (Re),820 N 31st Street,Temple,76501,"5,850",2547734457
Wellness 360 (Adult),7703 Floyd Curl Dr,San Antonio,78229,"7,020",2105672788
University Health System - Inpatient,4502 Medical Dr,San Antonio,78229,"12,870",2103584000
Samhd Main Immunizations Clinic,210 N Mel Waiters Way,San Antonio,78223,"2,340",2102078894
Christus St Michael Health System,2600 Saint Michael Dr,Texarkana,,"2,000",
Chi St Joseph Health College Station Hospital,1604 Rock Prairie Rd,College Station,,"4,000",
BSW Medical Center Marble Falls,810 Tx-71w,Marble Falls,,"1,170",
Ut Health Rgv Multispecialty,2106 Treasure Hills Blvd Ste 1.326,Harlingen,,"1,170",
Ccdhhs San Benito Nursing Office,1390 W Expressway 83,San Benito,,"6,000",
CHAMBERS COUNTY HEALTH DEPT ANAHUAC,102 AIRPORT RD,Anahuac,,"1,200",
Allen Fire Department,310 Century Pkwy,Allen,,"3,000",
City Of Mckinney Fire Department,2200 Taylor Burk Dr,McKinney,,"3,000",
Collin County Healthcare Services,825 N Mcdonald St Ste 145,McKinney,,"4,680",
Baylor Scott & White Medical Center - Plano,4700 Alliance Blvd,Plano,,"7,020",
Coryell Health Medical Clinic,1507 W Main St,Gatesville,,"1,170",
Coon Memorial Hospital,1411 Denver Ave,Dalhart,,"1,170",
Baylor University Med Cntr Dallas,3500 Gaston Ave,Dallas,,"2,340",
Parkland Hospital,5200 Harry Hines Boulevard,Dallas,,"9,360",
UT Southwestern Medical Center,5323 Harry Hines Blvd,Dallas,,"9,360",
Lhd Garland (City Of) Health Dept (Re),206 Carver Dr,Garland,,500,
LHD Denton County Public Health (RE),535 S. Loop 288,Denton,,"18,720",
Medical Center Hospital,500 W 4th,Odessa,,"5,850",
City of El Paso Fire Department,301 George Perry,El Paso,,"6,000",
University Medical Center of El Paso,4815 Alameda Ave,El Paso,,"8,190",
Baylor Scott And White Medical Center - Waxahachie,2400 N. I-35e,Waxahachie,,"4,680",
Falls Community Hospital & Clinic,322 Coleman St,Marlin,,"1,170",
Tmc Bonham Hospital 504 Lipscomb St,,Bonham,,"1,170",
LHD FORT BEND COUNTY HEALTH DEPARTMENT (HHS) (RE) 4520 Reading Rd,,Rosenberg,,"9,360",
University Of Texas Medical Branch Hospital 301 University Blvd,,Galveston,,"5,850",
LHD Galveston County Health District (RE) 9850 B Emmett F Lowry EXpy,,Texas City,,"1,000",
Hill Country Memorial Hospital 1020 S State Highway 16,,Fredericksburg,,"1,200",
CHRISTUS Good Shepherd Medical Center Longview 700 E Marshall Ave,,Longview,,"3,510",
School Of Nursing - Main Building 1851 Crosspoint Ave.,,Houston,,"4,680",
Chi St Lukes Health 6720 Bertner Ave,,Houston,,"2,340",
Houston Methodist Hospital 6565 Fannin St,,Houston,,"15,210",
Memorial Hermann Memorial City Medical Center 921 Gessner Rd,,Houston,,"4,680",
HCPH Main Office 2223 West Loop South,,Houston,,"9,000",
Houston Health Department Immunization Bureau 8000 N Stadium Dr,,Houston,,"9,000",
Lhd Hays County Health Department (Re) 401 Broadway St Ste A,,San Marcos,,"4,680",
DHR Health 5501 South McColl Road,,Edinburg,,"8,190",
Ut Health Rgv Employee Health Edinburg 1210 W Schunior St,,Edinburg,,"1,170",
Lhd Hidalgo County Health Department (Re) 1304 S 25th Ave,,Edinburg,,"6,000",
Jefferson County Immunization Clinic 7933 Viterbo Rd Ste 100,,Beaumont,,"11,000",
Christus Spohn Health System Alice 2500 E Main St,,Alice,,"1,170",
Cleburne Fire Department 114 W. Wardville Dr.,,Cleburne,,"2,000",
Christus Spohn Health System Kleberg 1311 General Cavazos Blvd,,Kingsville,,"1,170",
Kleberg County Sheriff's Office 1500 East King,,Kingsville,,"1,000",
La Salle County Regional Health Authority 247 Mars Drive,,Cotulla,,"1,170",
Lhd Paris-Lamar Co Health Dept (Re) 400 W Sherman St,,Paris,,"1,000",
"Emergency Hospital Systems, LLC 300 E Crockett",,Cleveland,,"1,170",
Lhd Lubbock City Health Dept (Re) 806 18th St,,Lubbock,,"5,000",
Eagle Pass Fire Department 2558 El Indio Hwy,,Eagle Pass,,"1,200",
Providence Health - Providence Health Center 6901 Medical Pkwy,,Waco,,"2,340",
Lhd Waco-Mclennan Co Phealth Dist (Re) 225 W Waco Dr,,Waco,,"1,500",
Midland Memorial Hospital 400 Rosalind Redfern Grover Pkwy,,Midland,,"5,850",
Lone Star Family Health Center 605 S. Conroe Medical Dr,,Conroe,,"2,500",
CHI ST LUKES HEALTH WOODLANDS HOSP 17200 ST LUKES WAY,,Conroe,,"4,680",
LHD Corsicana-Navarro Public Health District (RE) 618 N Main,,Corsicana,,"1,500",
Driscoll Health System 3533 S. Alameda,,Corpus Christi,,"1,170",
LHD Corpus Christi-Nueces County Public Health District (RE) 1702 Horne Road,,Corpus Christi,,"5,000",
Parker County Hospital District 1130 Pecan Dr,,Weatherford,,"3,510",
LHD Amarillo DOH 1000 Martin Rd,,Amarillo,,"5,000",
Pecos Valley Rural Health Clinic 2335 S Pigman St,,Pecos,,"1,170",
UT Health Science Center Tyler 11937 Us Highway 271,,Tyler,,"3,510",
Lhd Nethealth (Re) 815 N Broadway Ave,,Tyler,,"3,510",
Texas Health Medical Support 1100 Bridgewood,,Fort Worth,,"11,700",
Lhd Abilene-Taylor County Health Department (Re) 850 N 6th St,,Abilene,,"3,510",
Shannon Pharmacy 119 E. Beauregard Ave,,San Angelo,,"3,510",
Ut Health Austin (Dell Medical School) 1601 Trinity Avenue,,Austin,,"5,850",
Austin Public Health 15 Waller Street,,Austin,,"12,000",
Uvalde Memorial Hospital 1025 Garner Field Rd.,,Uvalde,,"1,170",
Victoria County Public Health Department 2805 N Navarro,,Victoria,,"2,000",
Washington County Ems 1875 Highway 290 W,,Brenham,,"3,000",
City Of Laredo Health Department 2600 Cedar Ave,,Laredo,,"5,000",
Family Emergency Rooms Cedar Park 3620 E. WHITESTONE BLVD.,,Cedar Park,,"6,000",
Lhd Brownwood-Brown County Health Department (Re) 510 E Lee St,,Brownwood,,500,
Burleson St Joseph Health Center 1101 Woodson Dr,,Caldwell,,100,
Brookshires Pharmacy 44 455 Hwy 36 N,,Caldwell,,100,
Brookshires Pharmacy 65 16800 Sh 36 South,,Somerville,,100,
Lockhart Family Practice Center 2060 S Colorado St,,Lockhart,,300,
Heb Pharmacy 445 403 S Colorado St,,Lockhart,,200,
Walgreens Pharmacy 11131 200 S Colorado St,,Lockhart,,200,
"DIsmukesRx, LLC 511 East Davis Street",,Luling,,100,
Port Lavaca Clinic Associates P.A. 1200 N Virginia St,,Port Lavaca,,200,
Resourcecare Clinic Clyde 1712 N Access Rd,,Clyde,,100,
Fresenius Kidney Care Valley Hemodialysis 350 N Expressway,,Brownsville,,100,
South Texas Rehabilitation Hospital 425 E Alton Gloor Blvd,,Brownsville,,200,
Solara Hospital 508 Victoria Lane,,Harlingen,,100,
Garcia's Pharmacy LLC 101 S Stuart Place Rd,,Harlingen,,400,
TEXAS DEPARTMENT OF STATE HEALTH SERVICES 601 W.SESAME DRIVE,,Harlingen,,"1,100",
Ut Health Pittsburg Hospital 2701 Us Highway 271 N,,Pittsburg,,100,
Panhandle Family Care Llc 102 Us Highway 60,,Panhandle,,100,
East Texas Border Health Clinic dba Genesis PrimeCare - Atla 1011 S William Street,,Atlanta,,200,
